row_long,DUP_ID,kingdom,phylum,class,order,family,genus,species,site,replicate_ltr,replicate_num,count,date
479,OTU_11168,Eukaryota,Annelida,Polychaeta,Spionida,Spionidae,Polydora,Polydora cornuta,LK,b,NA,11,2015-06-01
480,OTU_13742,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Calanidae,Undinula,Undinula vulgaris,LK,b,NA,7,2015-06-01
481,OTU_16857,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,b,NA,1,2015-06-01
482,OTU_17953,Eukaryota,Annelida,Polychaeta,Spionida,Spionidae,Polydora,Polydora websteri,LK,b,NA,5,2015-06-01
483,OTU_27106,Eukaryota,Mollusca,Gastropoda,Caenogastropoda,Cerithiidae,Bittiolum,Bittiolum varium,LK,b,NA,1,2015-06-01
484,OTU_29117,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,Acartia tonsa,LK,b,NA,3,2015-06-01
485,OTU_33131,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,b,NA,1,2015-06-01
486,OTU_34077,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Sardinella,Sardinella sp. BOLD:AAO1626,LK,b,NA,3,2015-06-01
487,OTU_35512,Eukaryota,Arthropoda,Maxillopoda,Harpacticoida,Euterpinidae,Euterpina,Euterpina acutifrons,LK,b,NA,2,2015-06-01
488,OTU_38005,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Paracalanidae,Paracalanus,Paracalanus quasimodo,LK,b,NA,2,2015-06-01
489,OTU_54168,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,b,NA,1,2015-06-01
490,OTU_1,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,LK,c,NA,2623,2015-06-01
491,OTU_2,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,c,NA,3085,2015-06-01
492,OTU_9,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,c,NA,1312,2015-06-01
493,OTU_12,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,LK,c,NA,212,2015-06-01
494,OTU_42,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Paracalanidae,Paracalanus,Paracalanus quasimodo,LK,c,NA,2,2015-06-01
495,OTU_45,Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Sididae,Penilia,Penilia avirostris,LK,c,NA,74,2015-06-01
496,OTU_68,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,Acartia tonsa,LK,c,NA,199,2015-06-01
497,OTU_142,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,Acartia tonsa,LK,c,NA,12,2015-06-01
498,OTU_181,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,Acartia tonsa,LK,c,NA,1,2015-06-01
499,OTU_294,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,c,NA,2,2015-06-01
500,OTU_365,Eukaryota,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,Balanus trigonus,LK,c,NA,255,2015-06-01
501,OTU_524,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,LK,c,NA,5,2015-06-01
502,OTU_741,Eukaryota,Cercozoa,Cercozoa,Chlorarachniophyceae,Chlorarachniophyceae,Bigelowiella,Bigelowiella natans,LK,c,NA,38,2015-06-01
503,OTU_885,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,LK,c,NA,2,2015-06-01
504,OTU_922,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,c,NA,6,2015-06-01
505,OTU_944,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,Acartia tonsa,LK,c,NA,2,2015-06-01
506,OTU_1051,Eukaryota,Chordata,Ascidiacea,Enterogona,Ascidiidae,Ascidia,Ascidia ahodori,LK,c,NA,1,2015-06-01
507,OTU_1124,Eukaryota,Cercozoa,Cercozoa,Chlorarachniophyceae,Chlorarachniophyceae,Bigelowiella,Bigelowiella natans,LK,c,NA,1,2015-06-01
508,OTU_1416,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Sphaeronectidae,Sphaeronectes,Sphaeronectes gracilis,LK,c,NA,11,2015-06-01
509,OTU_1519,Eukaryota,Annelida,Polychaeta,Spionida,Spionidae,Polydora,Polydora cornuta,LK,c,NA,21,2015-06-01
510,OTU_2761,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,LK,c,NA,7,2015-06-01
511,OTU_2819,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,c,NA,1,2015-06-01
512,OTU_4464,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,c,NA,1,2015-06-01
513,OTU_7190,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,LK,c,NA,1,2015-06-01
514,OTU_15187,Eukaryota,Cercozoa,Cercozoa,Chlorarachniophyceae,Chlorarachniophyceae,Bigelowiella,Bigelowiella natans,LK,c,NA,3,2015-06-01
515,OTU_16857,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,c,NA,1,2015-06-01
516,OTU_24199,Eukaryota,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,Balanus trigonus,LK,c,NA,3,2015-06-01
517,OTU_24223,Eukaryota,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,Balanus trigonus,LK,c,NA,4,2015-06-01
518,OTU_25551,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,Cyclotella sp. MBTD-CMFRI-S080,LK,c,NA,2,2015-06-01
519,OTU_31977,Eukaryota,Annelida,Polychaeta,Spionida,Spionidae,Polydora,Polydora cornuta,LK,c,NA,1,2015-06-01
520,OTU_54082,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,c,NA,1,2015-06-01
521,OTU_1,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,LK,a,NA,163,2015-09-01
522,OTU_2,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,a,NA,866,2015-09-01
523,OTU_9,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,a,NA,30,2015-09-01
524,OTU_12,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,LK,a,NA,1013,2015-09-01
525,OTU_42,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Paracalanidae,Paracalanus,Paracalanus quasimodo,LK,a,NA,3233,2015-09-01
526,OTU_45,Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Sididae,Penilia,Penilia avirostris,LK,a,NA,13,2015-09-01
527,OTU_68,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,Acartia tonsa,LK,a,NA,10,2015-09-01
528,OTU_142,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,Acartia tonsa,LK,a,NA,4,2015-09-01
529,OTU_181,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,Acartia tonsa,LK,a,NA,25,2015-09-01
530,OTU_365,Eukaryota,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,Balanus trigonus,LK,a,NA,5,2015-09-01
531,OTU_410,Eukaryota,Arthropoda,Insecta,Hymenoptera,Braconidae,Notiospathius,Notiospathius,LK,a,NA,494,2015-09-01
532,OTU_423,Eukaryota,Arthropoda,Insecta,Hymenoptera,Braconidae,Notiospathius,Notiospathius,LK,a,NA,289,2015-09-01
533,OTU_741,Eukaryota,Cercozoa,Cercozoa,Chlorarachniophyceae,Chlorarachniophyceae,Bigelowiella,Bigelowiella natans,LK,a,NA,1,2015-09-01
534,OTU_809,Eukaryota,Porifera,Demospongiae,Astrophorida,Geodiidae,Geodia,,LK,a,NA,51,2015-09-01
535,OTU_922,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,a,NA,1,2015-09-01
536,OTU_1416,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Sphaeronectidae,Sphaeronectes,Sphaeronectes gracilis,LK,a,NA,2,2015-09-01
537,OTU_1421,Eukaryota,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Polysiphonia,,LK,a,NA,78,2015-09-01
538,OTU_2819,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,a,NA,1,2015-09-01
539,OTU_3588,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Paracalanidae,Paracalanus,Paracalanus quasimodo,LK,a,NA,21,2015-09-01
540,OTU_4162,Eukaryota,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Polysiphonia,Polysiphonia breviarticulata,LK,a,NA,25,2015-09-01
541,OTU_17718,Eukaryota,Dinophyceae,Dinophyceae,Dinophyceae,Dinophyceae,Dinophyceae,Dinophyceae,LK,a,NA,2,2015-09-01
542,OTU_19028,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,LK,a,NA,8,2015-09-01
543,OTU_20310,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Paracalanidae,Paracalanus,Paracalanus quasimodo,LK,a,NA,4,2015-09-01
544,OTU_20826,Eukaryota,Arthropoda,Insecta,Hymenoptera,Braconidae,Notiospathius,Notiospathius,LK,a,NA,5,2015-09-01
545,OTU_24199,Eukaryota,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,Balanus trigonus,LK,a,NA,1,2015-09-01
546,OTU_25443,Eukaryota,Arthropoda,Insecta,Hymenoptera,Braconidae,Notiospathius,Notiospathius,LK,a,NA,4,2015-09-01
547,OTU_27297,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Paracalanidae,Paracalanus,Paracalanus quasimodo,LK,a,NA,3,2015-09-01
548,OTU_31977,Eukaryota,Annelida,Polychaeta,Spionida,Spionidae,Polydora,Polydora cornuta,LK,a,NA,1,2015-09-01
549,OTU_35799,Eukaryota,Arthropoda,Insecta,Hymenoptera,Braconidae,Notiospathius,Notiospathius,LK,a,NA,7,2015-09-01
550,OTU_38005,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Paracalanidae,Paracalanus,Paracalanus quasimodo,LK,a,NA,2,2015-09-01
551,OTU_4,Eukaryota,Arthropoda,Maxillopoda,Poecilostomatoida,Corycaeidae,Unclassified Corycaeidae,Corycaeidae sp. Co432.1.3,LK,b,NA,2000,2015-09-01
552,OTU_12,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,LK,b,NA,2189,2015-09-01
553,OTU_57,Eukaryota,Arthropoda,Maxillopoda,Poecilostomatoida,Corycaeidae,Unclassified Corycaeidae,Corycaeidae sp. Co432.1.3,LK,b,NA,3035,2015-09-01
554,OTU_141,Eukaryota,Arthropoda,Maxillopoda,Poecilostomatoida,Corycaeidae,Unclassified Corycaeidae,Corycaeidae sp. Co432.1.3,LK,b,NA,849,2015-09-01
555,OTU_3107,Eukaryota,Arthropoda,Maxillopoda,Poecilostomatoida,Corycaeidae,Unclassified Corycaeidae,Corycaeidae sp. Co432.1.3,LK,b,NA,3,2015-09-01
556,OTU_10345,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium chrysogenum,LK,b,NA,7,2015-09-01
557,OTU_10478,Eukaryota,Porifera,Demospongiae,Verongida,Aplysinidae,Verongula,Verongula,LK,b,NA,3,2015-09-01
558,OTU_19031,Eukaryota,Arthropoda,Maxillopoda,Poecilostomatoida,Corycaeidae,Unclassified Corycaeidae,Corycaeidae sp. Co432.1.3,LK,b,NA,7,2015-09-01
559,OTU_23057,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,LK,b,NA,1,2015-09-01
560,OTU_23958,Eukaryota,Arthropoda,Maxillopoda,Poecilostomatoida,Corycaeidae,Unclassified Corycaeidae,Corycaeidae sp. Co432.1.3,LK,b,NA,2,2015-09-01
561,OTU_1,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,LK,c,NA,1,2015-09-01
562,OTU_2,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,c,NA,554,2015-09-01
563,OTU_4,Eukaryota,Arthropoda,Maxillopoda,Poecilostomatoida,Corycaeidae,Unclassified Corycaeidae,Corycaeidae sp. Co432.1.3,LK,c,NA,830,2015-09-01
564,OTU_12,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,LK,c,NA,418,2015-09-01
565,OTU_51,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Paracalanidae,Paracalanus,,LK,c,NA,978,2015-09-01
566,OTU_179,Eukaryota,Arthropoda,Ellipura,Collembola,Entomobryidae,Willowsia,Willowsia nigromaculata,LK,c,NA,601,2015-09-01
567,OTU_235,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Paracalanidae,Delibus,Delibus,LK,c,NA,1,2015-09-01
568,OTU_3107,Eukaryota,Arthropoda,Maxillopoda,Poecilostomatoida,Corycaeidae,Unclassified Corycaeidae,Corycaeidae sp. Co432.1.3,LK,c,NA,1,2015-09-01
569,OTU_6391,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Paracalanidae,Paracalanus,,LK,c,NA,7,2015-09-01
570,OTU_17718,Eukaryota,Dinophyceae,Dinophyceae,Dinophyceae,Dinophyceae,Dinophyceae,Dinophyceae,LK,c,NA,1,2015-09-01
571,OTU_20148,Eukaryota,Arthropoda,Ellipura,Collembola,Entomobryidae,Willowsia,Willowsia nigromaculata,LK,c,NA,5,2015-09-01
572,OTU_20603,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,LK,c,NA,1,2015-09-01
573,OTU_1,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,LK,a,NA,7712,2015-11-01
574,OTU_2,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,a,NA,14998,2015-11-01
575,OTU_12,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,LK,a,NA,178,2015-11-01
576,OTU_29,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,LK,a,NA,756,2015-11-01
577,OTU_37,Eukaryota,Annelida,Polychaeta,Phascolosomatiformes,Phascolosomatidae,Apionsoma,Apionsoma misakianum,LK,a,NA,1,2015-11-01
578,OTU_42,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Paracalanidae,Paracalanus,Paracalanus quasimodo,LK,a,NA,272,2015-11-01
579,OTU_61,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Paracalanidae,Paracalanus,Paracalanus quasimodo,LK,a,NA,1,2015-11-01
580,OTU_97,Eukaryota,Arthropoda,Maxillopoda,Poecilostomatoida,Sapphirinidae,Unclassified Sapphirinidae,Sapphirinidae sp. Co425.1.2,LK,a,NA,779,2015-11-01
581,OTU_179,Eukaryota,Arthropoda,Ellipura,Collembola,Entomobryidae,Willowsia,Willowsia nigromaculata,LK,a,NA,31,2015-11-01
582,OTU_250,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,LK,a,NA,67,2015-11-01
583,OTU_294,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,a,NA,109,2015-11-01
584,OTU_329,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,LK,a,NA,14,2015-11-01
585,OTU_524,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,LK,a,NA,16,2015-11-01
586,OTU_809,Eukaryota,Porifera,Demospongiae,Astrophorida,Geodiidae,Geodia,,LK,a,NA,23,2015-11-01
587,OTU_855,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Psammodictyon,Psammodictyon panduriforme,LK,a,NA,17,2015-11-01
588,OTU_885,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,LK,a,NA,7,2015-11-01
589,OTU_922,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,a,NA,15,2015-11-01
590,OTU_1002,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,LK,a,NA,20,2015-11-01
591,OTU_1051,Eukaryota,Chordata,Ascidiacea,Enterogona,Ascidiidae,Ascidia,Ascidia ahodori,LK,a,NA,5,2015-11-01
592,OTU_1124,Eukaryota,Cercozoa,Cercozoa,Chlorarachniophyceae,Chlorarachniophyceae,Bigelowiella,Bigelowiella natans,LK,a,NA,3,2015-11-01
593,OTU_1153,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,LK,a,NA,18,2015-11-01
594,OTU_1218,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Calocalanidae,Calocalanus,Calocalanus curtus,LK,a,NA,80,2015-11-01
595,OTU_1254,Eukaryota,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Pseudopterogorgia,Pseudopterogorgia,LK,a,NA,2,2015-11-01
596,OTU_1604,Eukaryota,Chordata,Ascidiacea,Enterogona,Ascidiidae,Ascidia,Ascidia ahodori,LK,a,NA,5,2015-11-01
597,OTU_2522,Eukaryota,Porifera,Demospongiae,Astrophorida,Geodiidae,Geodia,Geodia vosmaeri,LK,a,NA,12,2015-11-01
598,OTU_2675,Eukaryota,Arthropoda,environmental samples <Crustacea>,environmental samples <Crustacea>,environmental samples <Crustacea>,environmental samples <Crustacea>,Crustacea environmental sample,LK,a,NA,2,2015-11-01
599,OTU_2819,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,a,NA,3,2015-11-01
600,OTU_3130,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,LK,a,NA,2,2015-11-01
601,OTU_3588,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Paracalanidae,Paracalanus,Paracalanus quasimodo,LK,a,NA,3,2015-11-01
602,OTU_4704,Eukaryota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Synedra,Synedra sp. 26 LG-2014,LK,a,NA,1,2015-11-01
603,OTU_7190,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,LK,a,NA,1,2015-11-01
604,OTU_7271,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,LK,a,NA,2,2015-11-01
605,OTU_8507,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,a,NA,1,2015-11-01
606,OTU_9835,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,a,NA,4,2015-11-01
607,OTU_11362,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,a,NA,9,2015-11-01
608,OTU_12740,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,a,NA,1,2015-11-01
609,OTU_14474,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,a,NA,2,2015-11-01
610,OTU_16598,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,LK,a,NA,1,2015-11-01
611,OTU_19285,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,a,NA,2,2015-11-01
612,OTU_22974,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,a,NA,2,2015-11-01
613,OTU_29897,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,a,NA,3,2015-11-01
614,OTU_31375,Eukaryota,Mollusca,Gastropoda,Thecosomata,Limacinidae,Limacina,Limacina inflata,LK,a,NA,3,2015-11-01
615,OTU_33396,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,LK,a,NA,1,2015-11-01
616,OTU_40330,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Calocalanidae,Calocalanus,,LK,a,NA,1,2015-11-01
617,OTU_50759,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,a,NA,2,2015-11-01
618,OTU_54136,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,a,NA,1,2015-11-01
619,OTU_67695,Eukaryota,Cnidaria,Anthozoa,Alcyonacea,Plexauridae,Plexauridae,Plexauridae,LK,a,NA,1,2015-11-01
620,OTU_1,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,LK,b,NA,1131,2015-11-01
621,OTU_2,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,b,NA,14117,2015-11-01
622,OTU_9,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,b,NA,1,2015-11-01
623,OTU_10,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Diphyes,Diphyes dispar,LK,b,NA,14,2015-11-01
624,OTU_12,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,LK,b,NA,343,2015-11-01
625,OTU_24,Eukaryota,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,Sagitta enflata,LK,b,NA,1617,2015-11-01
626,OTU_29,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,LK,b,NA,76,2015-11-01
627,OTU_39,Eukaryota,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Euconchoecia,Euconchoecia chierchiae,LK,b,NA,14,2015-11-01
628,OTU_42,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Paracalanidae,Paracalanus,Paracalanus quasimodo,LK,b,NA,154,2015-11-01
629,OTU_57,Eukaryota,Arthropoda,Maxillopoda,Poecilostomatoida,Corycaeidae,Unclassified Corycaeidae,Corycaeidae sp. Co432.1.3,LK,b,NA,39,2015-11-01
630,OTU_76,Eukaryota,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,Sagitta enflata,LK,b,NA,1,2015-11-01
631,OTU_97,Eukaryota,Arthropoda,Maxillopoda,Poecilostomatoida,Sapphirinidae,Unclassified Sapphirinidae,Sapphirinidae sp. Co425.1.2,LK,b,NA,72,2015-11-01
632,OTU_250,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,LK,b,NA,2,2015-11-01
633,OTU_294,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,b,NA,57,2015-11-01
634,OTU_463,Eukaryota,Arthropoda,Arachnida,Astigmata,Pyroglyphidae,Dermatophagoides,Dermatophagoides farinae,LK,b,NA,29,2015-11-01
635,OTU_524,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,LK,b,NA,2,2015-11-01
636,OTU_809,Eukaryota,Porifera,Demospongiae,Astrophorida,Geodiidae,Geodia,,LK,b,NA,22,2015-11-01
637,OTU_855,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Psammodictyon,Psammodictyon panduriforme,LK,b,NA,3,2015-11-01
638,OTU_885,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,LK,b,NA,1,2015-11-01
639,OTU_922,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,b,NA,22,2015-11-01
640,OTU_1002,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,LK,b,NA,2,2015-11-01
641,OTU_1051,Eukaryota,Chordata,Ascidiacea,Enterogona,Ascidiidae,Ascidia,Ascidia ahodori,LK,b,NA,4,2015-11-01
642,OTU_1153,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,LK,b,NA,2,2015-11-01
643,OTU_1604,Eukaryota,Chordata,Ascidiacea,Enterogona,Ascidiidae,Ascidia,Ascidia ahodori,LK,b,NA,8,2015-11-01
644,OTU_2439,Eukaryota,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium tenuissimum,LK,b,NA,12,2015-11-01
645,OTU_2675,Eukaryota,Arthropoda,environmental samples <Crustacea>,environmental samples <Crustacea>,environmental samples <Crustacea>,environmental samples <Crustacea>,Crustacea environmental sample,LK,b,NA,1,2015-11-01
646,OTU_2819,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,LK,b,NA,7,2015-11-01
647,OTU_5676,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Clavispora,Clavispora lusitaniae,LK,b,NA,3,2015-11-01
648,OTU_7271,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,LK,b,NA,1,2015-11-01
649,OTU_7495,Eukaryota,Porifera,Demospongiae,Astrophorida,Geodiidae,Geodia,,LK,b,NA,4,2015-11-01
650,OTU_7848,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos,LK,b,NA,1,2015-11-01
